Date,BTC,BTC_VOL,SP_500
1/24/2019,3601,5262869046,2990
1/25/2019,3600,5265847538,2976
1/26/2019,3602,5098183234,2980
1/27/2019,3584,5570752966,2993
1/28/2019,3470,6908930483,3000
1/29/2019,3448,5897159492,3014
1/30/2019,3486,5955112626,3014
1/31/2019,3458,5831198270,3004
2/1/2019,3488,5422926707,2984
2/2/2019,3521,5071623600,2995
2/3/2019,3464,5043937583,2977
2/4/2019,3459,5332718886,2985
2/5/2019,3466,5227549544,3005
2/6/2019,3414,5482196037,3020
2/7/2019,3399,5004962682,3004
2/8/2019,3667,7735623101,3026
2/9/2019,3671,6158833644,3021
2/10/2019,3690,6282256902,3013
2/11/2019,3648,6277056433,2980
2/12/2019,3654,6480384531,2954
2/13/2019,3632,6438903822,2932
2/14/2019,3617,6271044417,2845
2/15/2019,3621,6091952230,2882
2/16/2019,3630,5934744051,2884
2/17/2019,3674,7039512502,2938
2/18/2019,3916,9908216640,2919
2/19/2019,3947,9933626654,2883
2/20/2019,4000,8693373948,2926
2/21/2019,3954,7775128102,2841
2/22/2019,4006,7826525254,2848
2/23/2019,4143,8922258315,2889
2/24/2019,3810,10794227451,2924
2/25/2019,3883,9318796066,2901
2/26/2019,3854,7931218996,2924
2/27/2019,3851,8301309684,2923
2/28/2019,3855,8399767798,2847
3/1/2019,3860,7661247975,2878
3/2/2019,3864,7578786075,2869
3/3/2019,3847,7253558152,2888
3/4/2019,3762,9029175787,2925
3/5/2019,3896,10174126414,2926
3/6/2019,3904,9175291528,2906
3/7/2019,3911,9584165518,2938
3/8/2019,3901,10638638944,2976
3/9/2019,3963,10796103518,2979
3/10/2019,3952,9713267606,2978
3/11/2019,3905,10125901902,2979
3/12/2019,3909,9809887079,3001
3/13/2019,3907,9469184841,3010
3/14/2019,3924,10480789569,3007
3/15/2019,3961,9394210604,2998
3/16/2019,4049,9856166973,3006
3/17/2019,4025,8221625399,3007
3/18/2019,4033,9646954186,3007
3/19/2019,4071,9344919956,2992
3/20/2019,4087,10175916388,2992
3/21/2019,4029,10831212661,2967
3/22/2019,4024,9252935969,2985
3/23/2019,4036,9578850549,2978
3/24/2019,4022,9144851064,2962
3/25/2019,3963,10359818882,2977
3/26/2019,3985,10707678814,2940
3/27/2019,4087,10897131934,2888
3/28/2019,4069,9353915899,2911
3/29/2019,4098,10918665556,2952
3/30/2019,4107,9732688060,2939
3/31/2019,4105,9045122442,2893
4/1/2019,4158,10157794170,2919
4/2/2019,4880,21315047816,2938
4/3/2019,4973,22899891582,2970
4/4/2019,4923,18251810239,2966
4/5/2019,5037,16837325387,2996
4/6/2019,5060,16929795193,2990
4/7/2019,5199,16655416140,2998
4/8/2019,5290,17154113634,2986
4/9/2019,5205,14722104361,3007
4/10/2019,5325,15504590933,2996
4/11/2019,5064,16555616019,3005
4/12/2019,5090,13675206312,3010
4/13/2019,5097,10823289598,3023
4/14/2019,5168,10391952498,3039
4/15/2019,5067,12290155060,3037
4/16/2019,5236,11618660197,3047
4/17/2019,5252,12438480676,3038
4/18/2019,5298,13256489918,3067
4/19/2019,5304,13780238655,3078
4/20/2019,5338,13169647522,3075
4/21/2019,5315,13731844222,3077
4/22/2019,5399,14601631647,3085
4/23/2019,5572,15867308107,3093
4/24/2019,5465,17048033399,3087
4/25/2019,5211,15330283408,3092
4/26/2019,5279,16812108039,3094
4/27/2019,5268,13111274675,3097
4/28/2019,5285,12819992055,3120
4/29/2019,5247,13735490672,3122
4/30/2019,5351,13878964573,3120
5/1/2019,5403,13679528236,3108
5/2/2019,5505,14644460907,3104
5/3/2019,5768,18720780005,3110
5/4/2019,5831,17567780765,3134
5/5/2019,5796,14808830722,3141
5/6/2019,5747,15737171804,3154
5/7/2019,5830,18026409032,3141
5/8/2019,5982,15320605299,3114
5/9/2019,6175,16784645410,3093
5/10/2019,6379,19419875367,3113
5/11/2019,7205,28867562329,3117
5/12/2019,6972,27773333679,3146
5/13/2019,7815,28677672181,3136
5/14/2019,7994,32031452226,3133
5/15/2019,8205,28344112919,3142
5/16/2019,7885,33167197581,3169
5/17/2019,7344,30066644905,3169
5/18/2019,7271,21354286561,3191
5/19/2019,8198,25902422039,3193
5/20/2019,7978,23843404339,3191
5/21/2019,7963,25127245056,3205
5/22/2019,7680,24719473174,3221
5/23/2019,7882,24457107820,3224
5/24/2019,7987,25919126990,3223
5/25/2019,8053,22256813106,3240
